pair_id	han_sentence	viet_sentence
HVB_001_0000	安南志畧卷一	An Nam Chí Lược Quyển Đệ Nhất Năm KiếnAn thứ HiếnĐế dời chỗ cai trị qua quận NamHải
HVB_001_0001	古南交周号越裳秦名象郡秦末南海尉赵佗击并之自立国僭号西汉初髙帝封为南越王歴数世其相吕嘉叛杀其王及汉使者孝武遣伏波将军路博德平南越灭其国置九郡设官守任今安南居九郡之内曰交址九真日南是也后歴朝沿革郡县不一五季间爱州人吴权领交址后丁黎李陈相继篡夺宋因封王爵官制刑政稍效中州其郡邑或仍或革姑槩存之	NamGiao đời xưa nhà Chu gọi là ViệtThường nhà Tần gọi là TượngQuận nhà Hán đặt làm ba quận GiaoChâu CửuChân và NhậtNam Nhà Đường lại cải GiaoChâu làm Annam phủ quận Cửu
HVB_001_0002	大罗城路古交址汉仍之唐置安南都府其城在泸江西岸唐张伯义始筑张舟髙骈继增修之真宗时李公藴在此建国陈继李以其属増龙兴天长长安	ĐạiLa ThànhLộ xưa là nước GiaoChỉ đời nhà Hán để như cũ nhà Đường đặt làm Annam đôhộphủ thành phủ ở tại phía tây bờ sông LưGiang TrươngBáNghi đời Đường bắt đầu xây thành
HVB_001_0003	龙兴府旧多冈乡陈祖微时夜过溪桥既渡四顾桥不见矣未几陈氏有国人号其水曰龙溪改多冈为龙兴	LongHưngPhủ tên cũ là ĐaCươngHương Tổtiên họ Trần lúc còn hànvi ban đêm đi qua một cái cầu khe khi qua rồi ngoảnh lại không thấy cầu nữa Chẳng bao lâu họ Trần được nước người
HVB_001_0004	古州名峯州吴曰新昌长州武峩州唐林州	Các Huyện VõNinh Huyện VạnTải Huyện KhâuÔn Huyện TânLập Huyện Hoảng Huyện Chỉ Huyện Lịch
HVB_001_0005	县武宁县万载县丘温县新立县恍县纸县歴县阑桥县追延县古勇县供县窟县上坡县门县	Huyện LanKiều Huyện TruyDiên Huyện CổDũng Huyện Cung Huyện Quẫn Huyện Nguyênsử chép là Quật ThượngPha Huyện Môn Huyện
HVB_001_0006	古县名龙编西汉交州刺史所治旧名龙源后有蛟龙盘编于木改曰龙编羸羸音莲音篓朱鸢汉县唐改鸢州置髙凌安定县麊泠曲昜昜古阳字茍屚屚与漏同安顺唐顺州崇平唐安平海平唐宁海古都安定	ChuDiên Huyện của đời Hán đời Đường cải làm DiênChâu đặt ra hai huyện CaoLăng và An LiênLâu Âm chữ trên là liên âm chữ dưới là lâu Thời Hán là tri sở của thứsử GiaoChâu
HVB_001_0007	梁江波笼江荼江贡江采舎江安暹场文场古藤甲支明甲古弘甲古战甲縁甲典臾甲结帨甲	Lươnggiang Balunggiang Tràgiang Cốnggiang Tháixagiang Antiêmtrường Văntrường Cổđằnggiáp Chiminhgiáp Cổhoằnggiáp Cổchiếngiáp Duyêngiáp Điềnsửgiáp Kiếtthuếgiáp
HVB_001_0008	布政府路本西汉日南郡象林县汉末邑人杀令自立国曰林邑唐元和初复隶安南府今名布政地山林重复栁子厚诗林邑东南山似闍黎江接占城界山	Nguyên là huyện TượngLâm quận NhậtNam đời TâyHán Cuối đời nhà Hán có người trong ấp giết huyện lệnh tự lập thành nước gọi là Lâmấp
HVB_001_0009	仙游山有盘石隠然有枰纹昔传仙奕于此樵女野合其上石覆且裂	Núi TiênDu có hòn đá bànthạch dợn có đường gạch như bàn cờ tương truyền rằng xưa có tiên đánh cờ vây ở đó Bọn con gái đi hái củi thường đến giaohợp ở trên đá bàn cờ nên hòn đá ấy đổ
HVB_001_0010	地觐山尤险峻有古松俗传龙蟠其上陈太王建行宫于此	Núi ĐịaCận Núi ấy rất cao và hiểm trở có cây tùng đã lâu đời tục truyền có rồng khoanh ở trên cây ấy TrầnTháiVương có làm hànhcung tại đó
HVB_001_0011	安获山出碑砚石旧志载豫章太守范甯遣使九真采石磬为学中用	Núi AnHoạch Sảnxuất đá làm bia làm đỉa nghiên Sách cũ có chép DựChương TháiThú PhạmNịnh sai sứ tới quận CửuChân lấy đá làm khánh để dùng ở trong trường học
HVB_001_0012	东山临支明江髙且秀山洞上有窍登而逺望水天一色真嘉景也崱父中年休官自号思惟居士常隠其中	Núi ĐôngSơn Chạy tới sông ChiMinh đã cao lại tốt trên núi có hang trèo lên mà trông sắc nước in trời thật là một cảnh rất đẹp Phụthân tôi LêTắc thời trungniên thôi làm quan tự hiệu là
HVB_001_0013	驱傩山髙旷多山鬼每出焚舍有僧名奉符日夜诵大悲呪鬼畏逺避免其害山多杂果人至任啖之挟归者则迷其归路	Núi KhuNa Cao rộng nhiều ma những con ma nầy mỗi khi ra khỏi núi lại đốt nhà của người ta Nhân có nhà sư tên là PhụngPhù cứ ngày đêm đọc bài chú đạibi ma sợ tránh đi xa người ta mới
HVB_001_0014	立石山孤石特起昔传有神人擎巨石为爱演二州界	Núi LậpThạch Là một hòn đá đứng sững vậy Tương truyền rằng thuở xưa có ông thần dựng một hòn đá to lớn để vạch địa hạt ÁiChâu và DiễnChâu
HVB_001_0015	金牛山古载石赤色其中有金夜光如萤	tục truyền rằng cây cỏ ở trên núi ấy cũng chia hai bên ngã về Nam bên ngã về Bắc Núi KimNgưu Sách xưa chép đá núi ấy đều sắc đỏ trong đá có chất vàng đêm lại thì sáng
HVB_001_0016	古载淹水泸渝水漏水西随水自越巂东南流至交址龙门扬雄曰交址荒裔水与天际	Sách xưa chép các con sông như YêmThuỷ LôDuThuỷ LậuThuỷ TâyTuỳThuỷ đều từ Đông nam đất TuấnViệt chảy đến LongMôn đất GiaoChỉ
HVB_001_0017	龙门水古载交址封溪县有龙门水深百寻大鱼登此化为龙不得则暴腮点额	LongMônThuỷ Sách xưa chép huyện PhongKhê quận GiaoChỉ có LongMônThuỷ nước sâu trăm tầm cá con nào lớn vượt lên suối ấy được thì hóa rồng nếu lên không được thì bị thương nơi
HVB_001_0018	冲天庙在扶董乡境内乱忽见一人有威德民皆归之遂领衆平其乱已而腾空去号为冲天王民乃立祠祀之	XungThiênMiếu Tại làng PhùĐổng hồi xưa trong nước rối loạn chợt thấy một người có uy có đức dân đều về theo người ấy bèn cầm quân dẹp loạn rồi bay lên trời đi mất hiệu là XungThiên
HVB_001_0019	古州佛春骤雨山之巨木流至州津回旋不去民异而观之内有石类佛民祷神验即雕木为佛遇旱祈雨辄应故曰法云法雨	CổChâuPhật trong mùa xuân mưa như xối lụt to ở núi chảy xuống TrungChâu chảy quanh tại một chỗ dân thấy lạ ra coi trong nước có hòn đá giống như ông Phật dân tới cầu đảo có thần
HVB_001_0020	报天寺塔昔李圣王攻占城得能造者令甃十三层号天资万寿塔铜铸塔顶曰忉利天为雷击去莫知堕处后田夫得之复立雷又击去	BáoThiênTựTháp Xưa LýThánhVương đánh ChiêmThành được người thợ giỏi bảo xây một ngôi tháp cao mười ba tầng đặt là ThiênTưVạnThọThấp lại lấy đồng đúc cái biểnngạch gọi là
HVB_001_0021	金牌州有老父宅江濵其子得一卵归父畜之乃生一蛇尤加爱养后蛇大入水夜常馈鱼庭中老父殁遇祭时蛇来盘结庭下而去后江边聚沙成洲子孙得利人谓蛇报德云	KimBàiChâu Có một ông già ở bên sông người con đi ra bắt được một cái trứng đem về Ông già nuôi cái trứng ấy nở ra một con rắn lại càng yêu chuộng nuôi nấng sau con rắn lớn lên rồi
HVB_001_0022	宋宁宗开禧间朝请郎直宝章阁致仕赐諡文宪张洽纂歴朝郡县地理书三十卷唐安南大都府元隶州郡后更革不一姑録以备参考	tên Thuỵ là VănHiến nguyên làm chức TriềuThỉnhLang trực BữuChươngCác có soạn bộ sách Lịch Đạiquậnhuyệnđịalýthư quyển có chép các châu quận nguyên thuộc Annam đôhộ phủ đời
